region,year,temp_anomaly,temp_lower,temp_upper
Northern Hemisphere,1982,0.37698454,0.3476528,0.40631628
Southern Hemisphere,1982,0.41286936,0.34318942,0.4825493
World,1982,0.39492694,0.3544306,0.4354233
Northern Hemisphere,1983,0.58082676,0.55315274,0.6085007
Southern Hemisphere,1983,0.5887851,0.5288385,0.6487317
World,1983,0.5848059,0.5492813,0.6203305
Northern Hemisphere,1984,0.35952732,0.3327074,0.38634723
Southern Hemisphere,1984,0.46046805,0.4022416,0.5186946
World,1984,0.4099977,0.376012,0.44398338
Northern Hemisphere,1985,0.33307272,0.3027954,0.36335003
Southern Hemisphere,1985,0.48682344,0.43104365,0.5426032
World,1985,0.40994808,0.37687367,0.44302246
Northern Hemisphere,1986,0.4482446,0.42171776,0.47477144
Southern Hemisphere,1986,0.46431714,0.41099578,0.5176385
World,1986,0.45628086,0.4239302,0.48863152
Northern Hemisphere,1987,0.58128345,0.55190885,0.61065805
Southern Hemisphere,1987,0.6230396,0.5725091,0.6735701
World,1987,0.6021615,0.57142776,0.6328953
Northern Hemisphere,1988,0.701321,0.6737561,0.7288858
Southern Hemisphere,1988,0.58182245,0.5227909,0.64085406
World,1988,0.64157176,0.60660774,0.6765357
Northern Hemisphere,1989,0.6031248,0.5733538,0.63289577
Southern Hemisphere,1989,0.47458738,0.4156786,0.5334962
World,1989,0.5388561,0.5034881,0.574224
Northern Hemisphere,1990,0.8480298,0.81903434,0.8770252
Southern Hemisphere,1990,0.58997643,0.52895916,0.65099376
World,1990,0.7190031,0.68379974,0.7542065
Northern Hemisphere,1991,0.770439,0.7413427,0.79953533
Southern Hemisphere,1991,0.62509996,0.5658938,0.684306
World,1991,0.69776946,0.6621659,0.7333731
Northern Hemisphere,1992,0.48302796,0.45525151,0.5108044
Southern Hemisphere,1992,0.48494393,0.42679304,0.5430948
World,1992,0.48398593,0.45042333,0.51754856
Northern Hemisphere,1993,0.5785844,0.5504512,0.6067175
Southern Hemisphere,1993,0.47151807,0.4055947,0.53744143
World,1993,0.52505124,0.48671445,0.563388
Northern Hemisphere,1994,0.708672,0.6792088,0.7381352
Southern Hemisphere,1994,0.47412825,0.41518837,0.53306806
World,1994,0.59140015,0.5550177,0.6277825
Northern Hemisphere,1995,0.9531224,0.9232935,0.9829512
Southern Hemisphere,1995,0.5170627,0.46351963,0.5706058
World,1995,0.7350925,0.70191336,0.76827174
Northern Hemisphere,1996,0.674822,0.64495355,0.7046904
Southern Hemisphere,1996,0.59477675,0.54196686,0.64758664
World,1996,0.63479936,0.6025453,0.6670534
Northern Hemisphere,1997,0.916534,0.88660747,0.9464605
Southern Hemisphere,1997,0.6415284,0.58926255,0.69379425
World,1997,0.7790312,0.74655515,0.8115073
Northern Hemisphere,1998,1.098279,1.0672991,1.129259
Southern Hemisphere,1998,0.7735626,0.72037095,0.8267543
World,1998,0.93592083,0.9028746,0.968967
Northern Hemisphere,1999,0.85800934,0.8263251,0.88969356
Southern Hemisphere,1999,0.505986,0.4541389,0.5578331
World,1999,0.68199766,0.64938253,0.7146128
Northern Hemisphere,2000,0.8705044,0.83968884,0.9013199
Southern Hemisphere,2000,0.508433,0.45545152,0.5614145
World,2000,0.6894687,0.6567287,0.7222087
Northern Hemisphere,2001,1.0121015,0.9799091,1.0442939
Southern Hemisphere,2001,0.6827191,0.6268688,0.7385695
World,2001,0.8474103,0.8136172,0.88120335
Northern Hemisphere,2002,1.0533533,1.0218394,1.0848672
Southern Hemisphere,2002,0.7488842,0.6986433,0.7991251
World,2002,0.90111876,0.87089485,0.93134266
Northern Hemisphere,2003,1.1038861,1.0731487,1.1346234
Southern Hemisphere,2003,0.7005926,0.6442559,0.75692934
World,2003,0.9022393,0.8687722,0.9357065
Northern Hemisphere,2004,1.0190924,0.9878144,1.0503705
Southern Hemisphere,2004,0.6336776,0.58526343,0.6820917
World,2004,0.826385,0.79601645,0.8567535
Northern Hemisphere,2005,1.2179996,1.1847502,1.2512491
Southern Hemisphere,2005,0.71453464,0.6684701,0.76059926
World,2005,0.9662671,0.9350287,0.99750555
Northern Hemisphere,2006,1.1769745,1.1447948,1.2091544
Southern Hemisphere,2006,0.6835939,0.6346392,0.73254865
World,2006,0.93028426,0.898975,0.9615935
Northern Hemisphere,2007,1.214709,1.1839418,1.2454762
Southern Hemisphere,2007,0.68423903,0.6349283,0.7335497
World,2007,0.949474,0.9175324,0.9814156
